"No.","Time","Source","Destination","Protocol","Source Port","Dest Port","Length","Info"
"5996","2020-07-17 13:14:28.804102585","192.168.56.105","192.168.56.104","TCP","3193","80","54","3193  >  80 [SYN] Seq=0 Win=512 Len=0"
"5997","2020-07-17 13:14:28.804175115","192.168.56.105","192.168.56.104","TCP","3193","80","54","[TCP Port numbers reused] 3193  >  80 [SYN] Seq=0 Win=512 Len=0"
"5998","2020-07-17 13:14:28.804225339","192.168.56.105","192.168.56.104","TCP","3194","80","54","3194  >  80 [SYN] Seq=0 Win=512 Len=0"
"5999","2020-07-17 13:14:28.804237830","192.168.56.104","192.168.56.105","TCP","80","3185","60","80  >  3185 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6000","2020-07-17 13:14:28.804246465","192.168.56.105","192.168.56.104","TCP","3185","80","54","3185  >  80 [RST] Seq=1 Win=0 Len=0"
"6001","2020-07-17 13:14:28.804260772","192.168.56.104","192.168.56.105","TCP","80","3186","60","80  >  3186 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6002","2020-07-17 13:14:28.804264320","192.168.56.105","192.168.56.104","TCP","3186","80","54","3186  >  80 [RST] Seq=1 Win=0 Len=0"
"6003","2020-07-17 13:14:28.804273352","192.168.56.104","192.168.56.105","TCP","80","3187","60","80  >  3187 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6004","2020-07-17 13:14:28.804276019","192.168.56.105","192.168.56.104","TCP","3187","80","54","3187  >  80 [RST] Seq=1 Win=0 Len=0"
"6005","2020-07-17 13:14:28.804282162","192.168.56.105","192.168.56.104","TCP","3196","80","54","3196  >  80 [SYN] Seq=0 Win=512 Len=0"
"6006","2020-07-17 13:14:28.804301873","192.168.56.104","192.168.56.105","TCP","80","3188","60","80  >  3188 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6007","2020-07-17 13:14:28.804306169","192.168.56.105","192.168.56.104","TCP","3188","80","54","3188  >  80 [RST] Seq=1 Win=0 Len=0"
"6008","2020-07-17 13:14:28.804316349","192.168.56.105","192.168.56.104","TCP","3197","80","54","3197  >  80 [SYN] Seq=0 Win=512 Len=0"
"6009","2020-07-17 13:14:28.804333350","192.168.56.104","192.168.56.105","TCP","80","3189","60","80  >  3189 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6010","2020-07-17 13:14:28.804337490","192.168.56.105","192.168.56.104","TCP","3189","80","54","3189  >  80 [RST] Seq=1 Win=0 Len=0"
"6011","2020-07-17 13:14:28.804347660","192.168.56.104","192.168.56.105","TCP","80","3190","60","80  >  3190 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6012","2020-07-17 13:14:28.804347846","192.168.56.105","192.168.56.104","TCP","3198","80","54","3198  >  80 [SYN] Seq=0 Win=512 Len=0"
"6013","2020-07-17 13:14:28.804351041","192.168.56.104","192.168.56.105","TCP","80","3191","60","80  >  3191 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6014","2020-07-17 13:14:28.804353635","192.168.56.104","192.168.56.105","TCP","80","3192","60","80  >  3192 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6015","2020-07-17 13:14:28.804356003","192.168.56.104","192.168.56.105","TCP","80","3193","60","[TCP ACKed unseen segment] 80  >  3193 [SYN, ACK] Seq=0 Ack=1280419487 Win=29200 Len=0 MSS=1460"
"6016","2020-07-17 13:14:28.804358313","192.168.56.104","192.168.56.105","TCP","80","3193","60","[TCP Dup ACK 6015#1] [TCP ACKed unseen segment] 80  >  3193 [ACK] Seq=1 Ack=1280419487 Win=29200 Len=0"
"6017","2020-07-17 13:14:28.804360628","192.168.56.104","192.168.56.105","TCP","80","3194","60","80  >  3194 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6018","2020-07-17 13:14:28.804362929","192.168.56.104","192.168.56.105","TCP","80","3196","60","80  >  3196 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6019","2020-07-17 13:14:28.804370380","192.168.56.105","192.168.56.104","TCP","3190","80","54","3190  >  80 [RST] Seq=1 Win=0 Len=0"
"6020","2020-07-17 13:14:28.804372865","192.168.56.105","192.168.56.104","TCP","3191","80","54","3191  >  80 [RST] Seq=1 Win=0 Len=0"
"6021","2020-07-17 13:14:28.804373900","192.168.56.105","192.168.56.104","TCP","3192","80","54","3192  >  80 [RST] Seq=1 Win=0 Len=0"
"6022","2020-07-17 13:14:28.804374855","192.168.56.105","192.168.56.104","TCP","3193","80","54","3193  >  80 [RST] Seq=1280419487 Win=0 Len=0"
"6023","2020-07-17 13:14:28.804375802","192.168.56.105","192.168.56.104","TCP","3193","80","54","3193  >  80 [RST] Seq=1280419487 Win=0 Len=0"
"6024","2020-07-17 13:14:28.804376725","192.168.56.105","192.168.56.104","TCP","3194","80","54","3194  >  80 [RST] Seq=1 Win=0 Len=0"
"6025","2020-07-17 13:14:28.804377664","192.168.56.105","192.168.56.104","TCP","3196","80","54","3196  >  80 [RST] Seq=1 Win=0 Len=0"
"6026","2020-07-17 13:14:28.804442784","192.168.56.105","192.168.56.104","TCP","3198","80","54","[TCP Port numbers reused] 3198  >  80 [SYN] Seq=0 Win=512 Len=0"
"6027","2020-07-17 13:14:28.804499251","192.168.56.104","192.168.56.105","TCP","80","3197","60","80  >  3197 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6028","2020-07-17 13:14:28.804501071","192.168.56.105","192.168.56.104","TCP","3199","80","54","3199  >  80 [SYN] Seq=0 Win=512 Len=0"
"6029","2020-07-17 13:14:28.804506221","192.168.56.104","192.168.56.105","TCP","80","3198","60","[TCP ACKed unseen segment] 80  >  3198 [SYN, ACK] Seq=0 Ack=820760620 Win=29200 Len=0 MSS=1460"
"6030","2020-07-17 13:14:28.804514447","192.168.56.105","192.168.56.104","TCP","3197","80","54","3197  >  80 [RST] Seq=1 Win=0 Len=0"
"6031","2020-07-17 13:14:28.804515928","192.168.56.105","192.168.56.104","TCP","3198","80","54","3198  >  80 [RST] Seq=820760620 Win=0 Len=0"
"6032","2020-07-17 13:14:28.804571142","192.168.56.104","192.168.56.105","TCP","80","3198","60","[TCP Dup ACK 6029#1] [TCP ACKed unseen segment] 80  >  3198 [ACK] Seq=1 Ack=820760620 Win=29200 Len=0"
"6033","2020-07-17 13:14:28.804576454","192.168.56.105","192.168.56.104","TCP","3198","80","54","3198  >  80 [RST] Seq=820760620 Win=0 Len=0"
"6034","2020-07-17 13:14:28.804596288","192.168.56.105","192.168.56.104","TCP","3200","80","54","3200  >  80 [SYN] Seq=0 Win=512 Len=0"
"6035","2020-07-17 13:14:28.804625232","192.168.56.104","192.168.56.105","TCP","80","3199","60","80  >  3199 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6036","2020-07-17 13:14:28.804637531","192.168.56.105","192.168.56.104","TCP","3199","80","54","3199  >  80 [RST] Seq=1 Win=0 Len=0"
"6037","2020-07-17 13:14:28.804698532","192.168.56.105","192.168.56.104","TCP","3201","80","54","3201  >  80 [SYN] Seq=0 Win=512 Len=0"
"6038","2020-07-17 13:14:28.804743431","192.168.56.105","192.168.56.104","TCP","3202","80","54","3202  >  80 [SYN] Seq=0 Win=512 Len=0"
"6039","2020-07-17 13:14:28.804767185","192.168.56.104","192.168.56.105","TCP","80","3200","60","80  >  3200 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6040","2020-07-17 13:14:28.804777151","192.168.56.105","192.168.56.104","TCP","3200","80","54","3200  >  80 [RST] Seq=1 Win=0 Len=0"
"6041","2020-07-17 13:14:28.804803815","192.168.56.105","192.168.56.104","TCP","3203","80","54","3203  >  80 [SYN] Seq=0 Win=512 Len=0"
"6042","2020-07-17 13:14:28.804816477","192.168.56.104","192.168.56.105","TCP","80","3201","60","80  >  3201 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6043","2020-07-17 13:14:28.804821794","192.168.56.105","192.168.56.104","TCP","3201","80","54","3201  >  80 [RST] Seq=1 Win=0 Len=0"
"6044","2020-07-17 13:14:28.804830357","192.168.56.104","192.168.56.105","TCP","80","3202","60","80  >  3202 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6045","2020-07-17 13:14:28.804833182","192.168.56.105","192.168.56.104","TCP","3202","80","54","3202  >  80 [RST] Seq=1 Win=0 Len=0"
"6046","2020-07-17 13:14:28.804845050","192.168.56.105","192.168.56.104","TCP","3205","80","54","3205  >  80 [SYN] Seq=0 Win=512 Len=0"
"6047","2020-07-17 13:14:28.804885341","192.168.56.105","192.168.56.104","TCP","3206","80","54","3206  >  80 [SYN] Seq=0 Win=512 Len=0"
"6048","2020-07-17 13:14:28.804911770","192.168.56.104","192.168.56.105","TCP","80","3203","60","80  >  3203 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6049","2020-07-17 13:14:28.804920231","192.168.56.105","192.168.56.104","TCP","3203","80","54","3203  >  80 [RST] Seq=1 Win=0 Len=0"
"6050","2020-07-17 13:14:28.804949524","192.168.56.105","192.168.56.104","TCP","3206","80","54","[TCP Port numbers reused] 3206  >  80 [SYN] Seq=0 Win=512 Len=0"
"6051","2020-07-17 13:14:28.804969827","192.168.56.105","192.168.56.104","TCP","3208","80","54","3208  >  80 [SYN] Seq=0 Win=512 Len=0"
"6052","2020-07-17 13:14:28.805012106","192.168.56.105","192.168.56.104","TCP","3209","80","54","3209  >  80 [SYN] Seq=0 Win=512 Len=0"
"6053","2020-07-17 13:14:28.805049832","192.168.56.105","192.168.56.104","TCP","3209","80","54","[TCP Port numbers reused] 3209  >  80 [SYN] Seq=0 Win=512 Len=0"
"6054","2020-07-17 13:14:28.805066823","192.168.56.104","192.168.56.105","TCP","80","3205","60","80  >  3205 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6055","2020-07-17 13:14:28.805073243","192.168.56.105","192.168.56.104","TCP","3205","80","54","3205  >  80 [RST] Seq=1 Win=0 Len=0"
"6056","2020-07-17 13:14:28.805083009","192.168.56.104","192.168.56.105","TCP","80","3206","60","[TCP ACKed unseen segment] 80  >  3206 [SYN, ACK] Seq=0 Ack=371476385 Win=29200 Len=0 MSS=1460"
"6057","2020-07-17 13:14:28.805085710","192.168.56.105","192.168.56.104","TCP","3206","80","54","3206  >  80 [RST] Seq=371476385 Win=0 Len=0"
"6058","2020-07-17 13:14:28.805093167","192.168.56.104","192.168.56.105","TCP","80","3206","60","[TCP Dup ACK 6056#1] [TCP ACKed unseen segment] 80  >  3206 [ACK] Seq=1 Ack=371476385 Win=29200 Len=0"
"6059","2020-07-17 13:14:28.805095513","192.168.56.105","192.168.56.104","TCP","3206","80","54","3206  >  80 [RST] Seq=371476385 Win=0 Len=0"
"6060","2020-07-17 13:14:28.805114920","192.168.56.104","192.168.56.105","TCP","80","3208","60","80  >  3208 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6061","2020-07-17 13:14:28.805119091","192.168.56.105","192.168.56.104","TCP","3208","80","54","3208  >  80 [RST] Seq=1 Win=0 Len=0"
"6062","2020-07-17 13:14:28.805137816","192.168.56.105","192.168.56.104","TCP","3211","80","54","3211  >  80 [SYN] Seq=0 Win=512 Len=0"
"6063","2020-07-17 13:14:28.805166924","192.168.56.105","192.168.56.104","TCP","3212","80","54","3212  >  80 [SYN] Seq=0 Win=512 Len=0"
"6064","2020-07-17 13:14:28.805189805","192.168.56.105","192.168.56.104","TCP","3213","80","54","3213  >  80 [SYN] Seq=0 Win=512 Len=0"
"6065","2020-07-17 13:14:28.805200203","192.168.56.104","192.168.56.105","TCP","80","3209","60","80  >  3209 [SYN, ACK] Seq=0 Ack=4022927101 Win=29200 Len=0 MSS=1460"
"6066","2020-07-17 13:14:28.805205495","192.168.56.105","192.168.56.104","TCP","3209","80","54","3209  >  80 [RST] Seq=4022927101 Win=0 Len=0"
"6067","2020-07-17 13:14:28.805222970","192.168.56.105","192.168.56.104","TCP","3214","80","54","3214  >  80 [SYN] Seq=0 Win=512 Len=0"
"6068","2020-07-17 13:14:28.805234199","192.168.56.105","192.168.56.104","TCP","3215","80","54","3215  >  80 [SYN] Seq=0 Win=512 Len=0"
"6069","2020-07-17 13:14:28.805240628","192.168.56.104","192.168.56.105","TCP","80","3209","60","[TCP Dup ACK 6065#1] 80  >  3209 [ACK] Seq=1 Ack=4022927101 Win=29200 Len=0"
"6070","2020-07-17 13:14:28.805244076","192.168.56.105","192.168.56.104","TCP","3209","80","54","3209  >  80 [RST] Seq=4022927101 Win=0 Len=0"
"6071","2020-07-17 13:14:28.805253179","192.168.56.105","192.168.56.104","TCP","3216","80","54","3216  >  80 [SYN] Seq=0 Win=512 Len=0"
"6072","2020-07-17 13:14:28.805298942","192.168.56.105","192.168.56.104","TCP","3217","80","54","3217  >  80 [SYN] Seq=0 Win=512 Len=0"
"6073","2020-07-17 13:14:28.805337296","192.168.56.104","192.168.56.105","TCP","80","3211","60","80  >  3211 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
